model,perturbation,top1_change_rate,top10_overlap,mean_spearman,mean_rank_displacement
TFIDF,gender_feminine,0.0,1.0,0.9999731092436974,0.011200000000000002
TFIDF,gender_masculine,0.0,1.0,0.9996043217286913,0.07520000000000002
TFIDF,name_white_american,0.04,0.9880000000000001,0.9995889555822327,0.12960000000000002
TFIDF,name_african_american,0.04,0.992,0.9995543817527011,0.1328
TFIDF,name_south_asian,0.04,0.992,0.9996427370948379,0.1168
TFIDF,name_east_asian,0.04,0.996,0.9996465786314527,0.1168
TFIDF,age_reduced,0.0,0.98,0.9950713085234093,0.6704000000000001
SBERT,gender_feminine,0.0,1.0,0.9999692677070827,0.008
SBERT,gender_masculine,0.0,0.9880000000000001,0.9983635054021608,0.34240000000000004
SBERT,name_white_american,0.36,0.8119999999999998,0.9385162064825932,3.7008000000000005
SBERT,name_african_american,0.4,0.7919999999999999,0.9212331332533013,4.118399999999999
SBERT,name_south_asian,0.44,0.8160000000000001,0.9153555822328932,4.3536
SBERT,name_east_asian,0.32,0.82,0.9212984393757503,4.1616
SBERT,age_reduced,0.2,0.9279999999999998,0.9828821128451379,1.7376000000000003
SPLADE,gender_feminine,0.0,1.0,0.9999999999999999,0.0
SPLADE,gender_masculine,0.04,0.992,0.9993277310924369,0.1664
SPLADE,name_white_american,0.16,0.856,0.955438175270108,2.9632000000000005
SPLADE,name_african_american,0.24,0.868,0.9589992797118847,2.864
SPLADE,name_south_asian,0.16,0.868,0.9587611044417766,2.8592
SPLADE,name_east_asian,0.24,0.86,0.9522535414165665,3.1152
SPLADE,age_reduced,0.08,0.9519999999999998,0.9885560624249699,1.3536
